state_abbv,state_fips,year,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_onyear_pct,nonvoter_illness_offyear_pct,nonvoter_reg_onyear_pct,nonvoter_reg_offyear_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout,nonvoter_illness_onyear_new,eric_membership,risk_limiting_audits,nonvoter_illness_offyear_new
"AK","Alaska",2008,0,"0",,,"",.0681019,.0621388,.0007813,.0018604,.1645482,.0429646,.1546564,1,1,.15214236,,.05210728,,"0",5.7127,.0034948,.875693,.6827726,,,,
"AK","Alaska",2010,1,"1",0,1,"0",.0820497,.0497725,.0049784,.0021139,.1559424,.0424946,.4828166,1,1,,.0931353,,.0352794,"0",,,.8354309,.5255604,,,,
"AK","Alaska",2012,1,"1",0,1,"0",.0970629,.0603541,.00081,.0026615,.154525,.082484,.193297,1,1,.12015536,,.06383421,,"0",3.656872,.0039742,.8684716,.5918064,,,,
"AK","Alaska",2014,1,"1",0,1,"0",.0864959,.0567391,.0072061,.003245,.2494985,.0503247,.2566437,1,1,,.0931197,,.0201839,"0",4.156598,,.8269493,.5438179,,,,
"AK","Alaska",2016,1,"1",1,1,"0",.1116463,.0613138,.0008383,.0027097,.131722,.0793299,.1236304,1,1,.12192352,,.05422933,,"1",6.428843,.0082947,.875029,.612886,,,,
"AK","Alaska",2018,1,"1",1,1,"0",.099038,.0460685,.0044246,.0026367,.165157,.0251142,.1603163,1,1,,.1113286,,.0223332,"1",3.296339,,.8660678,.5462276,,,,
"AK","Alaska",2020,1,"1",1,1,"0",.1190316,.0325069,.0006613,.0017792,.1969841,.0129431,.1581228,1,1,,,.04437756,,"1",11.31896,.0051743,.8995625,.687637,-.0678386,1,,
"AK","Alaska",2022,1,"1",1,1,"0",.1674155,.0300022,.0029807,.0021195,.1843814,.0255493,.2313433,1,1,,,,.0173662,"1",3.65806,,.8635797,.5077654,,1,,-.0534519
"AL","Alabama",2008,0,"0",,,"",.0004391,,,,,,.3100032,.4860942,0,.2261501,,.0759389,,"0",14.2608,,.8522075,.6095284,,,,
"AL","Alabama",2010,1,"1",0,1,"1",.0010221,.0023871,.0012294,,,.1917563,.7643077,.5942518,0,,.1865659,,.078653,"0",,,.8214131,.4306084,,,,
"AL","Alabama",2012,1,"1",0,1,"1",,.0036719,.0021163,,,,,.5824811,0,.23142886,,.07635505,,"0",11.30834,.006219,.863281,.5889097,,,,
"AL","Alabama",2014,1,"1",0,1,"1",.0177437,.0019377,.000613,,,,.8178264,.6252103,0,,.166047,,.0646148,"0",3.71631,,.8018457,.332124,,,,
"AL","Alabama",2016,1,"1",1,1,"1",.0160717,,,,.10026,.0392465,.3813421,.7435867,0,.22291428,,.05076856,,"1",13.17053,.0062881,.8621275,.5896026,,,,
"AL","Alabama",2018,1,"1",1,1,"1",.0171104,.0052399,.002139,.0008075,.0875211,.0127389,.3203463,.9959073,0,,.1679202,,.0520435,"1",7.469024,,.8828068,.472894,,,,
"AL","Alabama",2020,1,"1",1,1,"1",.012108,.0065817,.0027488,,,.0103033,.2301706,.8803726,0,,,.05091877,,"1",19.68146,.0031203,.8822114,.6312694,-.1321405,1,,
"AL","Alabama",2022,1,"1",1,1,"1",.0111785,.0038425,.0014395,,.1618537,.00611,.3084507,.9674774,0,,,,.0228558,"1",2.563132,,.8582346,.3774113,,1,,-.0892673
"AR","Arkansas",2008,1,"1",,,"",,.002031,,,,,.2600094,.7073488,0,.17098345,,.03797669,,"0",21.48361,.0085277,.742385,.5290489,,,,
"AR","Arkansas",2010,1,"1",1,1,"0",.0452559,.0016515,.0009079,.0016142,.0973715,.0419463,.5247525,.977605,0,,.1586142,,.0254112,"0",,,.7192547,.3754192,,,,
"AR","Arkansas",2012,1,"1",1,1,"0",,.0024149,.0015701,.0009498,.0907552,.1001417,.2774451,.9692506,0,.17145225,,.05128189,,"0",12.88792,.0084187,.7594837,.5095499,,,,
"AR","Arkansas",2014,1,"1",0,1,"0",.0139308,.0019158,.0010862,.001238,.0948457,,.3543165,.950947,0,,.1407865,,.022308,"0",7.701295,,.7472966,.4014286,,,,
"AR","Arkansas",2016,1,"1",0,1,"0",.0337863,.0041318,.003051,.0016215,.079493,,.1725993,.9339136,0,.20186481,,.04649762,,"0",15.3538,.0093646,.8370594,.5277001,,,,
"AR","Arkansas",2018,1,"1",0,1,"0",,,,.0015015,.1086918,,,.8278583,0,,.1477313,,.0303957,"0",8.154811,,.7895977,.4138204,,,,
"AR","Arkansas",2020,1,"1",0,1,"0",.0004004,.0171815,.0039692,.0067325,.0233781,,,.9496029,1,,,.04812417,,"0",9.019198,.0040469,.8307091,.5607079,-.0941103,,,
"AR","Arkansas",2022,1,"1",0,1,"0",.0319725,.0040411,.002674,.001335,.1668389,.0739958,.6369916,.9836867,1,,,,.0271934,"0",7.545673,,.7770137,.4194974,,,,-.0416311
"AZ","Arizona",2008,0,"0",,,"",,.0654066,.0191624,.0029416,.0642906,.0190819,.3659405,.9894488,1,.12171349,,.09185892,,"1",23.71424,.0117957,.8294159,.5736055,,,,
"AZ","Arizona",2010,1,"1",0,0,"1",,.0467456,.0082612,.0047194,.2307793,.0355656,.672896,.9910133,1,,.087298,,.0642903,"1",,,.803252,.4152188,,,,
"AZ","Arizona",2012,1,"1",0,1,"1",,.0788693,.0142117,.0053323,.1967418,.0095289,.2858332,.990735,1,.12530252,,.09045524,,"1",10.78703,.0104688,.7745221,.5329217,,,,
"AZ","Arizona",2014,1,"1",0,1,"1",.0870543,.042909,.0055109,.0067557,.421268,.0338462,.6309821,1,1,,.0770359,,.0551061,"1",2.154743,,.7744793,.3411599,,,,
"AZ","Arizona",2016,1,"1",0,1,"1",,.0376507,.0087999,.0039553,.1857665,.0269812,.1832532,.9855512,1,.08287324,,.06346135,,"1",5.688967,.0213564,.809389,.5501658,,,,
"AZ","Arizona",2018,1,"1",0,1,"1",.0809728,.0215892,.0061836,.0037385,,.007,.3360628,.9909393,1,,.0785671,,.052186,"1",2.807997,,.8171514,.4907542,,,,
"AZ","Arizona",2020,1,"1",0,1,"1",.0460115,.0147087,.0058948,.0022605,.1673539,.002597,.1474238,1,1,,,.06018838,,"1",4.48878,.0103115,.8692182,.6591993,0,1,,
"AZ","Arizona",2022,1,"1",0,1,"1",.0441212,.0066248,.0035261,.0034466,.3583576,.0094569,.4234138,1,1,,,,.0202295,"1",7.060891,,.8529231,.4944475,,1,,0
"CA","California",2008,0,"0",,,"",,.0578562,.0098768,.0096583,.1615253,.0566575,.373328,.9675562,1,.14775597,,.08574958,,"0",13.64365,.0131903,.8248458,.6173517,,,,
"CA","California",2010,0,"0",0,0,"0",,.0519362,.0064789,.006904,.3094001,.0446684,.7217111,.9853116,1,,.1123199,,.0515269,"0",,,.7591342,.4505084,,,,
"CA","California",2012,0,"0",0,0,"0",,.0814496,.0136471,.0045501,.2938262,.0848288,.4602846,.9831181,1,.13636522,,.09350371,,"1",5.803193,.0123927,.8010042,.5589381,,,,
"CA","California",2014,1,"0",0,0,"0",.096147,.0506015,.0054663,.0065635,.4949773,.1152748,.8375474,.9956588,1,,.1019497,,.0417634,"1",2.087554,,.7414938,.3078467,,,,
"CA","California",2016,1,"1",0,1,"1",.1585112,.0894693,.0132462,.0040015,,.0473816,.2925338,.9912663,1,.11564228,,.07864251,,"1",6.625767,.0255033,.797656,.5668691,,,,
"CA","California",2018,1,"1",0,1,"1",.1767657,.0778832,.0106395,.0116981,,.0704771,.6321295,.9948491,1,,.096105,,.0338701,"1",4.529634,,.8101811,.495903,,,,
"CA","California",2020,1,"1",0,1,"1",.1139289,,,.0052087,,.0154734,.4349425,.8629141,1,,,.06961001,,"1",4.076362,.0159836,.8540964,.6850284,-.0960509,,,
"CA","California",2022,1,"1",0,1,"1",,.0066592,.0004958,.021825,0,.0669525,.7436754,.976256,1,,,,.023942,"1",3.543783,,.8365454,.4353111,,,,-.0619794
"CO","Colorado",2008,0,"1",,,"",,.0218914,.0033937,.0032985,.0900125,.0580932,.2623838,.9396685,1,.11898357,,.06445456,,"0",12.64701,.0086181,.840033,.716011,,,,
"CO","Colorado",2010,1,"1",0,1,"1",.0664043,.0215285,.0020057,.0043214,.2199413,.0299033,.5702347,1,1,,.098185,,.0481646,"1",,,.8237152,.5069619,,,,
"CO","Colorado",2012,1,"1",0,1,"1",.0167844,.024222,.003804,.0063234,.1249349,.0365144,.3044472,1,1,.09195083,,.06357475,,"1",6.306886,.0104516,.8784338,.7104929,,,,
"CO","Colorado",2014,1,"1",0,1,"1",.0244443,.0004726,.0001912,.0071792,.349731,.0178598,.6655581,1,1,,.0721372,,.0430391,"1",1.402647,,.8667469,.5446357,,,,
"CO","Colorado",2016,1,"1",0,1,"1",.0329898,.0020491,.0005142,.0080608,,.0161276,.4022006,1,1,.070554,,.06149936,,"1",2.399448,.0276191,.9004806,.7009678,,,,
"CO","Colorado",2018,1,"1",1,1,"1",.0640666,.0001806,.0001338,.0074121,,.0205236,.4559784,1,1,,.0641624,,.0527421,"1",2.00508,,.8841722,.6295422,,,,
"CO","Colorado",2020,1,"1",1,1,"1",.0097921,.000103,.0000578,.0088948,,.0293274,.3495983,1,1,,,.07204733,,"1",.7572703,.01173,.9241692,.7641143,-.0431719,1,1,
"CO","Colorado",2022,1,"1",1,1,"1",.0139428,.0000445,.0000232,.009861,0,.0603961,.6311184,1,1,,,,.0395826,"1",2.084751,,.9348375,.5845324,,1,1,-.0328673
"CT","Connecticut",2008,0,"0",,,"",.0042329,.0004347,.0002718,.0018683,,,,.7778371,1,.21747319,,.04721039,,"0",10.07436,,.8556383,.6664255,,,,
"CT","Connecticut",2010,1,"1",0,1,"0",,.0007982,.0005009,.0010764,.0651016,.015942,.3603276,.9439592,1,,.1473903,,.028935,"0",,,.8137398,.459599,,,,
"CT","Connecticut",2012,1,"1",0,1,"0",,.0006171,.0005402,.0015096,.0865572,.0096428,.1145186,.7777778,1,.18870133,,.04193211,,"0",8.502415,,.844919,.6099896,,,,
"CT","Connecticut",2014,1,"1",0,1,"0",,.0000173,8.21e-06,.001098,.083933,.0183824,.2668464,.9444444,1,,.1238912,,.0245035,"1",2.990191,,.8114153,.4253355,,,,
"CT","Connecticut",2016,1,"1",1,1,"0",,.0000394,.0000215,.0015108,.0634724,.0179473,.1825397,.8888889,1,.20214406,,.03287137,,"1",6.073258,.0185037,.8654541,.6421568,,,,
"CT","Connecticut",2018,1,"1",1,1,"0",,9.85e-06,2.81e-06,.0012134,.0949442,.0114082,,.8785991,1,,.1435107,,.0317781,"1",4.828114,,.8331,.5439393,,,,
"CT","Connecticut",2020,1,"1",1,1,"1",,.0000998,.000044,.003486,.1905525,.023495,.2086432,.9400161,1,,,.05731781,,"1",8.795856,.0200039,.8902531,.7148875,-.0597348,1,,
"CT","Connecticut",2022,1,"1",1,1,"1",,.0000185,7.71e-06,.001941,.2540373,.0378788,.5906976,.9411765,1,,,,.0204645,"1",2.713161,,.8692232,.4888245,,1,,-.101761
"DC","District of Columbia",2008,1,"1",,,"",,.0648518,.0183761,.0103936,.0366838,,.5354439,.7777778,0,.26005191,,.10069024,,"0",,.0038146,.9090906,.6169486,,,,
"DC","District of Columbia",2010,1,"1",0,1,"1",.0288014,.0395889,.0029298,.0023482,.3269511,.1090343,.7118492,1,1,,.132365,,.0612748,"0",,,.8470676,.2957391,,,,
